City Group,Type,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,revenue,Sale Day,Sale Year,Sale Month
Big Cities,FC,3.0,5.0,4.0,4.0,2.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,7.0,3.0,2.0,3.0,4.0,1.0,4.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,2.0,2.0,5.0,3.0,3.0,3.0,5.0,2.0,2.0,6.0,15.513270837664596,18,2011,1
Big Cities,IL,3.0,5.0,4.0,4.0,2.0,2.0,5.0,1.0,4.0,4.0,5.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,3.0,2.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,2.0,15.737784122349685,9,2011,2
Big Cities,FC,4.0,5.0,4.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,6.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,3.0,3.0,4.0,5.0,6.0,5.0,1.0,6.0,4.0,9.0,5.0,8.0,3.0,4.0,2.0,15.21490227305944,1,2011,3
Other,FC,3.0,4.0,4.0,4.0,1.0,2.0,5.0,2.0,4.0,5.0,5.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0,3.0,5.0,1.0,3.0,1.0,6.0,3.0,6.0,4.0,2.0,3.0,11.0,5.0,1.0,3.0,5.0,5.0,5.0,4.0,14.667663754961787,11,2011,3
Other,IL,4.0,4.0,4.0,4.0,1.0,2.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,3.0,5.0,2.0,2.0,2.0,3.0,3.0,1.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,14.993753469410601,1,2011,5
Big Cities,IL,4.0,5.0,4.0,5.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,3.0,5.0,3.0,5.0,3.0,5.0,2.0,4.0,2.0,2.0,5.0,5.0,4.0,3.0,2.0,10.0,9.0,10.0,2.0,7.0,7.0,4.0,2.0,15.317721324781436,21,2011,6
Other,FC,3.0,3.0,4.0,4.0,2.0,2.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,7.0,8.0,3.0,3.0,5.0,1.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,1.0,5.0,2.0,4.0,3.0,3.0,15.024883952813118,26,2011,7
Other,FC,2.0,3.0,4.0,4.0,2.0,2.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,2.0,4.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,5.0,1.0,2.0,5.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,15.138258172642109,8,2011,8
Other,IL,2.0,4.0,4.0,4.0,2.0,2.0,5.0,5.0,4.0,4.0,1.0,3.0,4.0,3.0,7.0,8.0,2.0,7.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,5.0,2.0,3.0,8.0,5.0,6.0,2.0,4.0,3.0,8.0,1.0,14.519565531656134,16,2011,8
Other,FC,2.0,3.0,4.0,4.0,2.0,2.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,3.0,6.0,5.0,5.0,5.0,4.0,2.0,2.0,3.0,7.0,3.0,6.0,4.0,2.0,3.0,6.0,2.0,3.0,3.0,5.0,8.0,5.0,3.0,15.218555589974086,18,2011,8
Big Cities,IL,3.0,5.0,5.0,3.0,1.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,2.0,4.0,2.0,4.0,2.0,5.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,3.0,3.0,5.0,5.0,4.0,2.0,2.0,4.0,3.0,3.0,15.262608113190913,25,2011,8
Other,IL,2.0,2.0,4.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,2.0,3.0,1.0,7.0,3.0,1.0,1.0,2.0,1.0,4.0,3.0,4.0,4.0,2.0,3.0,9.0,4.0,7.0,1.0,4.0,4.0,7.0,4.0,15.054575275204753,30,2011,8
Big Cities,IL,12.0,8.0,6.0,6.0,4.0,4.0,10.0,8.0,10.0,10.0,6.0,10.0,8.0,8.0,9.0,13.0,5.0,10.0,25.0,15.0,6.0,4.0,20.0,4.0,4.0,6.0,1.0,8.0,5.0,20.0,10.0,16.0,4.0,19.0,14.0,12.0,4.0,15.415353788294691,27,2011,9
Big Cities,FC,4.0,5.0,4.0,5.0,2.0,2.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,7.0,7.0,4.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,6.0,7.0,3.0,5.0,1.0,16.0,6.0,4.0,3.0,3.0,6.0,8.0,2.0,15.023804413088934,4,2011,10
Big Cities,FC,2.0,4.0,4.0,4.0,1.0,2.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,2.0,3.0,8.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,8.0,3.0,2.0,8.0,5.0,7.0,3.0,5.0,8.0,4.0,4.0,14.68422361031232,14,2011,10
Other,FC,3.0,4.0,3.0,4.0,2.0,1.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,2.0,3.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,7.0,2.0,3.0,14.0,6.0,9.0,2.0,8.0,6.0,7.0,5.0,15.032245380208382,29,2011,10
Other,FC,1.0,1.0,4.0,3.0,1.0,1.0,1.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,4.0,4.0,2.0,2.0,3.0,14.0,4.0,3.0,3.0,8.0,10.0,5.0,5.0,15.26563146807971,5,2011,11
Other,IL,2.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,6.0,8.0,5.0,5.0,5.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0,8.0,1.0,3.0,5.0,3.0,8.0,4.0,6.0,8.0,6.0,4.0,15.001230385664963,8,2011,11
Other,IL,6.0,4.0,6.0,8.0,6.0,4.0,10.0,10.0,10.0,10.0,2.0,10.0,8.0,9.0,5.0,11.0,4.0,10.0,25.0,3.0,3.0,1.0,10.0,6.0,5.0,8.0,5.0,5.0,2.0,17.0,14.0,21.0,2.0,10.0,4.0,14.0,7.0,15.510066522846385,16,2011,11
Other,FC,4.0,5.0,2.0,4.0,2.0,2.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,9.0,5.0,6.0,8.0,5.0,3.0,2.0,1.0,2.0,3.0,7.0,5.0,6.0,5.0,2.0,2.0,10.0,6.0,4.0,2.0,4.0,6.0,5.0,5.0,15.673779105506169,27,2011,11
Big Cities,IL,12.0,8.0,6.0,6.0,2.0,8.0,10.0,8.0,8.0,8.0,8.0,8.0,6.0,12.0,10.0,12.0,9.0,9.0,20.0,15.0,6.0,4.0,25.0,10.0,8.0,10.0,2.0,12.0,2.0,20.0,9.0,15.0,4.0,12.0,12.0,12.0,4.0,15.52040754820775,1,2011,12
Other,FC,2.0,4.0,4.0,4.0,1.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,1.0,4.0,5.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,9.0,2.0,2.0,9.0,1.0,10.0,3.0,4.0,7.0,6.0,4.0,15.303800203698414,6,2011,12
Other,FC,4.0,5.0,4.0,4.0,2.0,2.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,10.0,4.0,6.0,7.0,4.0,5.0,5.0,3.0,3.0,5.0,3.0,4.0,4.0,2.0,4.0,3.0,9.0,6.0,8.0,4.0,7.0,3.0,8.0,4.0,15.789839469926692,21,2011,12
Other,FC,4.0,4.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,9.0,9.0,4.0,8.0,5.0,3.0,1.0,2.0,1.0,1.0,6.0,6.0,5.0,3.0,2.0,3.0,3.0,5.0,12.0,4.0,6.0,8.0,7.0,6.0,15.14486995086662,23,2011,12
Other,FC,2.0,2.0,4.0,4.0,1.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0,3.0,8.0,5.0,3.0,3.0,1.0,3.0,2.0,4.0,7.0,4.0,2.0,2.0,3.0,15.0,5.0,4.0,4.0,5.0,7.0,4.0,3.0,14.508206636793131,29,2011,12
Other,IL,6.0,4.0,6.0,6.0,4.0,4.0,10.0,8.0,10.0,10.0,8.0,10.0,8.0,6.0,4.0,9.0,3.0,12.0,20.0,12.0,6.0,1.0,10.0,2.0,2.0,2.0,2.0,2.0,8.0,25.0,12.0,10.0,6.0,18.0,12.0,12.0,6.0,14.799651321866403,2,2012,2
Other,FC,6.0,6.0,6.0,4.0,2.0,8.0,10.0,10.0,10.0,8.0,4.0,10.0,6.0,7.0,7.0,8.0,5.0,8.0,5.0,15.0,3.0,2.0,5.0,6.0,7.0,9.0,7.0,5.0,8.0,16.0,11.0,15.0,3.0,21.0,17.0,15.0,5.0,15.138035701956367,2,2012,2
Big Cities,IL,12.0,8.0,6.0,6.0,2.0,10.0,10.0,10.0,10.0,10.0,4.0,10.0,8.0,3.0,10.0,15.0,3.0,12.0,10.0,9.0,3.0,2.0,5.0,8.0,8.0,10.0,2.0,8.0,8.0,5.0,15.0,20.0,2.0,12.0,3.0,16.0,4.0,14.98455614687022,7,2012,2
Big Cities,FC,4.0,5.0,4.0,4.0,1.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,6.0,6.0,5.0,3.0,3.0,1.0,4.0,1.0,2.0,1.0,6.0,2.0,5.0,3.0,4.0,3.0,5.0,5.0,6.0,2.0,11.0,9.0,5.0,1.0,15.226713849739511,21,2012,3
Big Cities,FC,2.0,4.0,4.0,4.0,2.0,2.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,2.0,3.0,7.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0,5.0,3.0,3.0,4.0,8.0,12.0,4.0,6.0,6.0,7.0,6.0,16.000954796559405,30,2012,3
Big Cities,FC,3.0,4.0,4.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,1.0,3.0,1.0,3.0,1.0,5.0,1.0,3.0,5.0,2.0,3.0,2.0,7.0,3.0,3.0,1.0,2.0,2.0,4.0,14.915598424098953,11,2012,4
Big Cities,IL,4.0,5.0,4.0,3.0,1.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,2.0,3.0,2.0,3.0,4.0,5.0,1.0,4.0,2.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,2.0,15.490272995054232,21,2012,4
Big Cities,IL,12.0,8.0,6.0,6.0,2.0,6.0,10.0,8.0,10.0,10.0,6.0,10.0,8.0,6.0,4.0,9.0,3.0,12.0,10.0,15.0,6.0,3.0,10.0,4.0,4.0,5.0,2.0,5.0,8.0,10.0,15.0,20.0,4.0,18.0,12.0,12.0,2.0,14.96765508271834,1,2012,5
Big Cities,IL,6.0,4.0,6.0,6.0,4.0,8.0,10.0,10.0,10.0,10.0,4.0,10.0,8.0,6.0,4.0,12.0,6.0,12.0,5.0,9.0,3.0,2.0,5.0,8.0,8.0,10.0,12.0,5.0,8.0,25.0,15.0,25.0,4.0,18.0,12.0,16.0,8.0,15.401267475949783,4,2012,5
Big Cities,IL,2.0,4.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,2.0,5.0,2.0,4.0,2.0,5.0,1.0,1.0,3.0,5.0,2.0,3.0,5.0,3.0,3.0,5.0,5.0,4.0,2.0,3.0,4.0,4.0,2.0,15.456712799840789,22,2012,5
Other,FC,2.0,4.0,4.0,4.0,2.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,3.0,6.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,6.0,5.0,1.0,3.0,11.0,7.0,8.0,5.0,8.0,6.0,5.0,4.0,14.054921081742355,8,2012,6
Other,FC,1.0,2.0,5.0,4.0,1.0,2.0,1.0,5.0,4.0,4.0,2.0,4.0,3.0,1.0,5.0,4.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,6.0,4.0,2.0,3.0,15.0,7.0,9.0,2.0,3.0,8.0,4.0,6.0,15.088186231730633,9,2012,7
Other,FC,2.0,3.0,4.0,4.0,2.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,6.0,6.0,2.0,3.0,8.0,7.0,6.0,4.0,6.0,5.0,3.0,4.0,14.911810174466455,10,2012,8
Other,IL,3.0,4.0,5.0,4.0,2.0,2.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,15.375438217026932,9,2012,9
Other,IL,6.0,3.0,6.0,6.0,4.0,4.0,10.0,8.0,10.0,10.0,6.0,10.0,8.0,9.0,8.0,12.0,3.0,12.0,10.0,12.0,6.0,1.0,10.0,2.0,2.0,2.0,2.0,5.0,8.0,15.0,3.0,15.0,6.0,18.0,12.0,16.0,6.0,14.898700193230836,26,2012,9
Big Cities,IL,9.0,8.0,6.0,8.0,8.0,6.0,10.0,10.0,8.0,8.0,4.0,6.0,6.0,3.0,2.0,9.0,3.0,12.0,25.0,12.0,6.0,2.0,10.0,4.0,4.0,5.0,2.0,8.0,2.0,20.0,9.0,20.0,4.0,18.0,12.0,12.0,2.0,15.169112549845753,29,2012,9
Other,IL,3.0,4.0,4.0,4.0,1.0,2.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,2.0,4.0,3.0,5.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,4.0,3.0,4.0,5.0,5.0,3.0,15.042480587303393,14,2012,10
Big Cities,IL,4.0,5.0,4.0,4.0,1.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,3.0,3.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,5.0,2.0,5.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,14.537558557351856,31,2012,12
Big Cities,IL,2.0,2.0,4.0,4.0,2.0,1.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,2.0,1.0,3.0,1.0,4.0,3.0,4.0,1.0,2.0,2.0,5.0,2.0,3.0,6.0,1.0,3.0,13.0,6.0,4.0,3.0,8.0,5.0,6.0,4.0,14.36630757459148,28,2013,2
Other,IL,2.0,4.0,2.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,6.0,5.0,6.0,9.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,4.0,2.0,1.0,3.0,6.0,9.0,12.0,3.0,3.0,6.0,4.0,4.0,14.535971303659679,9,2013,3
Big Cities,IL,4.0,5.0,4.0,4.0,2.0,2.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,6.0,8.0,2.0,4.0,5.0,2.0,2.0,2.0,5.0,4.0,5.0,3.0,3.0,3.0,13.0,7.0,11.0,3.0,7.0,2.0,8.0,5.0,14.687027748229546,16,2013,3
Other,FC,3.0,4.0,4.0,3.0,1.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,3.0,7.0,4.0,5.0,4.0,2.0,4.0,2.0,1.0,1.0,4.0,5.0,4.0,7.0,3.0,3.0,5.0,9.0,5.0,4.0,6.0,2.0,5.0,6.0,15.537431798491633,29,2013,3
Other,FC,2.0,3.0,4.0,4.0,2.0,2.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,2.0,1.0,4.0,2.0,4.0,3.0,2.0,3.0,8.0,3.0,3.0,1.0,6.0,7.0,5.0,3.0,14.67890797926529,23,2013,4
Other,FC,1.0,2.0,5.0,4.0,1.0,2.0,1.0,4.0,5.0,5.0,3.0,5.0,5.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,1.0,2.0,10.0,5.0,1.0,2.0,2.0,7.0,4.0,2.0,14.52122740818956,10,2013,7
Other,FC,2.0,2.0,4.0,4.0,3.0,1.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,8.0,5.0,4.0,6.0,6.0,2.0,1.0,1.0,1.0,1.0,8.0,9.0,9.0,6.0,1.0,3.0,6.0,6.0,12.0,2.0,7.0,5.0,9.0,3.0,14.297741626453158,5,2013,8
Big Cities,FC,12.0,8.0,6.0,6.0,2.0,8.0,10.0,10.0,8.0,8.0,4.0,8.0,6.0,8.0,7.0,13.0,6.0,10.0,15.0,9.0,3.0,3.0,5.0,4.0,7.0,9.0,1.0,5.0,8.0,21.0,15.0,23.0,3.0,22.0,8.0,17.0,8.0,15.046953577183888,8,2013,8
Other,FC,9.0,6.0,6.0,6.0,4.0,4.0,10.0,8.0,10.0,10.0,8.0,10.0,8.0,14.0,7.0,15.0,12.0,11.0,25.0,15.0,15.0,3.0,20.0,6.0,6.0,6.0,4.0,10.0,2.0,23.0,9.0,29.0,5.0,20.0,17.0,17.0,5.0,15.135968489360863,9,2013,8
Big Cities,FC,3.0,5.0,3.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,3.0,5.0,3.0,3.0,5.0,5.0,1.0,3.0,1.0,5.0,3.0,5.0,3.0,3.0,2.0,10.0,4.0,8.0,4.0,5.0,2.0,7.0,4.0,14.459910148448499,25,2013,10
Other,FC,2.0,3.0,4.0,4.0,2.0,1.0,1.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,6.0,6.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0,4.0,1.0,3.0,6.0,5.0,11.0,3.0,8.0,2.0,9.0,3.0,14.382659046596372,12,2013,11
Big Cities,FC,3.0,5.0,4.0,3.0,1.0,2.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,7.0,2.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,1.0,1.0,3.0,5.0,4.0,9.0,3.0,6.0,7.0,5.0,4.0,14.378588915708418,21,2013,12
Big Cities,IL,4.0,5.0,4.0,4.0,2.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,2.0,4.0,5.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,6.0,5.0,2.0,3.0,6.0,4.0,7.0,2.0,5.0,6.0,6.0,3.0,15.145239858587065,3,2014,1
Big Cities,FC,5.0,5.0,4.0,4.0,2.0,2.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,5.0,5.0,4.0,4.0,5.0,1.0,3.0,1.0,5.0,3.0,4.0,3.0,3.0,1.0,2.0,6.0,6.0,2.0,3.0,5.0,6.0,4.0,13.955160320134425,25,2014,1
